0.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.593587,-0.442929,0.279579,1.076610
1.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.590430,-0.440049,0.277903,1.083845
2.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.589757,-0.437513,0.278552,1.090070
3.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.590160,-0.435563,0.279840,1.094155
4.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.591283,-0.434666,0.281442,1.096260
5.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.592665,-0.434623,0.283141,1.097563
6.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.594790,-0.434470,0.285498,1.098401
7.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.596831,-0.434359,0.287734,1.099074
8.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.598670,-0.434271,0.289762,1.099742
9.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.600812,-0.433379,0.292695,1.103167
10.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.603601,-0.433150,0.295932,1.104920
11.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.606311,-0.433529,0.298831,1.105471
12.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.608712,-0.434256,0.301306,1.105523
13.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.610782,-0.434847,0.303469,1.105694
14.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.612538,-0.435137,0.305334,1.105992
15.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.613287,-0.435479,0.306195,1.106407
16.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.613544,-0.435708,0.306533,1.106739
17.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.613574,-0.435991,0.306573,1.106768
18.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.613669,-0.436088,0.306641,1.106634
19.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.613500,-0.436594,0.306633,1.107362
20.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.613279,-0.437326,0.306799,1.109121
21.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.613189,-0.437973,0.307182,1.111270
22.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.612678,-0.438810,0.307176,1.113593
23.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.612119,-0.439612,0.307101,1.115830
24.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.611618,-0.440449,0.307096,1.118121
25.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.611280,-0.441405,0.307280,1.120497
26.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.611040,-0.442416,0.307602,1.123049
27.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.610858,-0.443632,0.307951,1.125442
28.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.611161,-0.444478,0.308607,1.126988
29.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.611110,-0.445030,0.308686,1.127562
30.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.611136,-0.445729,0.308752,1.127708
31.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.611494,-0.446337,0.309152,1.127838
32.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.611928,-0.446803,0.309616,1.127909
33.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.612493,-0.447412,0.310151,1.127686
34.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.612945,-0.448138,0.310616,1.127663
35.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.613233,-0.448650,0.310897,1.127577
36.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.613636,-0.449007,0.311294,1.127489
37.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.613792,-0.449350,0.311456,1.127487
38.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.614317,-0.449603,0.311972,1.127376
39.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.614640,-0.449693,0.312307,1.127389
40.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.614823,-0.449544,0.312463,1.127258
41.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.614822,-0.449441,0.312451,1.127210
42.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.614620,-0.449151,0.312277,1.127369
43.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.614499,-0.448667,0.312124,1.127261
44.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.614313,-0.448295,0.311904,1.127140
45.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.614343,-0.447895,0.311965,1.127294
46.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.614442,-0.447529,0.312073,1.127342
47.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.614464,-0.447241,0.312066,1.127223
48.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.614332,-0.446865,0.311938,1.127269
49.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.614354,-0.446651,0.311982,1.127373
50.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,0.614447,-0.446442,0.312064,1.127327
